# HD 31253 Mass 1.230(0) Jitter 0
2450838.75189	-1.44	1.97
2451043.12399	-11.98	1.61
2451073.03263	-10.12	1.45
2451170.90537	6.52	1.79
2451228.78516	11.64	1.41
2451411.13343	3.54	2.21
2451550.87137	-20.13	1.59
2451581.85884	-4.86	1.71
2451757.13309	7.45	1.61
2451793.11793	8.5	1.76
2451883.00052	2.05	1.8
2451884.08282	-0.63	1.78
2451898.01005	6.44	1.65
2451898.99796	-2.59	1.57
2451899.99476	1.53	1.48
2451901.00753	-1.13	1.49
2451973.74609	-7.57	1.83
2451974.76077	-7.26	1.67
2452235.85335	1.28	1.62
2452536.0926	0.0	1.53
2452575.9947	8.16	1.77
2452898.09851	-11.51	1.48
2453241.13429	5.68	1.53
2453338.87214	-6.23	1.39
2453339.99226	-6.7	1.5
2453984.09331	16.24	1.44
2454084.05142	15.15	1.52
2454130.84528	7.82	1.62
2454131.74964	12.85	1.61
2454138.73395	2.5	1.53
2454396.90266	-9.46	1.5
2454398.01742	-1.91	1.7
2454464.89612	3.27	1.61
2454491.84891	14.3	1.44
2454545.76603	15.83	1.5
2454778.98495	-7.23	2.03
2454872.85868	5.12	0.87
2455202.81016	-10.48	0.95
2455257.82898	-9.44	0.72
